order_id,payment_sequential,payment_type,payment_installments,payment_value
d0a945f85ba1074b60aac97ade7e240e,1,credit_card,2,541.0
afef48d3c8a0b1b7c9b7f8f922fb5674,1,credit_card,5,153.41
8e47a04b25d7a7075064e8e0bd2e0318,1,credit_card,1,37.61
557cc2675910c4a6c9b54ad276f25097,1,credit_card,1,56.77
243312dbb316253ab77bb0140d94803c,1,credit_card,10,285.79
1d92d2ce1ae2e0510b5ce50c5be578c6,1,credit_card,2,110.03
3597f6476c27b4e1cc2f58588116f8f5,1,boleto,1,85.14
648b4f683ccf074ebe65a73c8096dd18,1,credit_card,4,139.87
6cdb86865449a92089579ea715e1c1d1,1,credit_card,1,52.57
76b8568803f110a59ece4167463a4a7e,1,debit_card,1,76.39
7250e10eca3d7f71a091ac5752d3228f,1,credit_card,1,221.96
d189b98b9c4f5325db664c5455fe927c,1,credit_card,1,341.58
ce7cf6dd8f80dfb98716950ae40eca59,1,boleto,1,171.75
838411338443a817cfb4c26f0f7a9c9a,1,boleto,1,63.7
e147052b9ecc00bf938f9e8581944207,1,credit_card,4,263.95
0bdb173bda4bf7e4109fe707c309252a,1,credit_card,10,132.95
e8f9288c671277ab525571871aef27cd,1,credit_card,3,36.0
61792c6272346d7f4b7c5b1747df7b1a,1,credit_card,4,49.34
65bbd0719855fe808bb19f62dfa9f42c,1,credit_card,1,354.64
01e6f40a293da5a9dc11e49695c7541d,1,boleto,1,64.09
6eab6f37ff2d390d23be84642739b500,1,credit_card,5,279.4
92f4f749aa508d58dee50d9ccdb6c9dd,1,credit_card,3,62.31
93b63d0bd99c903fae0f7a00b72b507c,1,credit_card,3,164.35
141d3bf5aa7128f40bf2a60cef620b93,1,credit_card,3,159.03
4b918a356d581c76170acb5f5644e79f,1,credit_card,9,92.57
d1c60fd7acd42b1d2e2aecfeff348b23,1,credit_card,2,67.62
64e64a4dd77d71d6bc307f24af1e55ac,1,credit_card,1,22.29
c283d7942d2bbca2c27a9c15ee2a390e,1,credit_card,1,206.76
347610961383f5990e1d0ce3fd0afa5a,1,credit_card,6,314.3
a83755325957c8eed972dc614210922e,1,credit_card,1,120.92
