category,orders,items,sales,freight
health_beauty,8836,9670,1258681.34,182566.73
watches_gifts,5624,5991,1205005.68,100535.93
bed_bath_table,9417,11115,1036988.68,204693.04
sports_leisure,7720,8641,988048.97,168607.51
computers_accessories,6689,7827,911954.32,147318.08
furniture_decor,6449,8334,729762.49,172749.3
cool_stuff,3632,3796,635290.85,84039.1
housewares,5884,6964,632248.66,146149.11
auto,3897,4235,592720.11,92664.21
garden_tools,3518,4347,485256.46,98962.75
toys,3886,4117,483946.6,77425.95
baby,2885,3065,411764.89,68353.11
perfumery,3162,3419,399124.87,54213.84
telephony,4199,4545,323667.52999999997,71215.79
office_furniture,1273,1691,273960.7,68571.95
stationery,2311,2517,230943.23,46798.48
computers,181,203,222963.13,9836.3
pet_shop,1710,1947,214315.41,39561.24
musical_instruments,628,680,191498.88,18638.49
small_appliances,630,679,190648.58,16020.25
Unknown,1451,1603,179535.28,28169.81
electronics,2550,2767,160246.74,46578.32
consoles_games,1062,1137,157465.22,19828.02
fashion_bags_accessories,1864,2031,152823.54,31450.0
construction_tools_construction,748,929,144677.59,20650.41
luggage_accessories,1034,1092,140429.98,30445.23
home_appliances_2,234,238,113317.74,10600.18
home_construction,490,604,83088.12,13832.24
home_appliances,764,771,80171.53,14818.9
agro_industry_and_commerce,182,212,72530.47,5843.6
furniture_living_room,422,503,68916.56,17968.170000000002
fixed_telephony,217,264,59583.0,4637.81
home_confort,397,434,58572.04,8501.23
air_conditioning,253,297,55024.96,6749.23
audio,350,364,50688.5,5710.44
small_appliances_home_oven_and_coffee,75,76,47445.71,2747.86
books_general_interest,512,553,46856.88,9195.52
kitchen_dining_laundry_garden_furniture,248,281,46328.37,11999.43
construction_tools_lights,244,304,41080.0,7583.8
construction_tools_safety,167,194,40544.52,3919.1
industry_commerce_and_business,235,268,39669.61,7884.68
food,450,510,29393.41,7271.03
market_place,280,311,28378.47,5456.06
costruction_tools_garden,194,238,25715.89,5311.4
art,202,209,24202.64,4045.17
fashion_shoes,240,262,23562.77,4918.87
drinks,297,379,22428.7,5741.25
signaling_and_security,140,199,21509.23,6507.820000000001
furniture_bedroom,95,109,20028.78,4632.23
books_technical,260,267,19096.06,4283.06
costruction_tools_tools,97,103,15903.95,2030.22
food_drink,227,278,15179.48,4507.99
fashion_male_clothing,112,132,10797.82,2152.41
fashion_underwear_beach,121,131,9541.55,1916.19
christmas_supplies,128,153,8800.82,3229.2999999999997
tablets_printing_image,79,83,7528.41,1226.2
cine_photo,65,72,6933.46,1256.2
music,38,38,6034.35,690.51
dvds_blu_ray,59,64,5999.39,1288.74
books_imported,53,60,4639.85,769.85
party_supplies,39,43,4485.18,827.97
furniture_mattress_and_upholstery,38,38,4368.08,1630.46
portateis_cozinha_e_preparadores_de_alimentos,14,15,3968.5299999999997,309.76
fashio_female_clothing,39,48,2803.64,621.75
fashion_sport,27,30,2119.51,578.13
la_cuisine,13,14,2054.99,333.55
arts_and_craftmanship,23,24,1814.01,370.13
diapers_and_hygiene,27,39,1567.59,573.68
pc_gamer,8,9,1545.95,133.57
flowers,29,33,1110.04,488.87
home_comfort_2,24,30,760.27,410.31
cds_dvds_musicals,12,14,730.0,224.98999999999998
fashion_childrens_clothes,8,8,569.85,95.51
security_and_services,2,2,283.28999999999996,41.22
