month,sales,freight,orders
2016-09,267.36,87.39,3
2016-10,49507.66,7301.18,308
2016-12,10.9,8.72,1
2017-01,120312.87,16875.62,789
2017-02,247303.02,38977.6,1733
2017-03,374344.3,57704.29,2641
2017-04,359927.23,52495.01,2391
2017-05,506071.14,80119.81,3660
2017-06,433038.6,69924.44,3217
2017-07,498031.48,86940.14,3969
2017-08,573971.68,94232.92,4293
2017-09,624401.6900000001,95997.22,4243
2017-10,664219.43,105092.94,4568
2017-11,1010271.37,168872.4,7451
2017-12,743914.17,119633.06,5624
2018-01,950030.36,157271.53,7220
2018-02,844178.71,142730.25,6694
2018-03,983213.4400000001,171913.38,7188
2018-04,996647.75,163050.29,6934
2018-05,996517.68,153264.14,6853
2018-06,865124.31,157552.8,6160
2018-07,895507.22,163220.81,6273
2018-08,854686.33,148622.14,6452
2018-09,145.0,21.46,1
